Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2016-12-08,177.15,181.2,176.4,178.9,179.46,1446782.0,7347.0,259643210.0,323455.0,22.36,4.8,1.75
2016-12-07,175.25,176.5,172.25,174.85,174.92,1145465.0,4848.0,200368111.0,262321.0,22.9,4.25,-0.4
2016-12-06,176.8,177.9,174.3,175.15,175.63,1594987.0,6443.0,280130703.0,483107.0,30.29,3.6,-1.65
2016-12-05,168.25,175.4,167.95,174.45,171.08,1127980.0,6443.0,192971911.0,360220.0,31.93,7.45,6.2
2016-12-02,170.5,174.1,167.7,168.8,170.2,1072963.0,5855.0,182619929.0,114023.0,10.63,6.4,-1.7
2016-12-01,176.0,177.4,169.85,171.4,173.37,1173252.0,5641.0,203404389.0,210789.0,17.97,7.55,-4.6
2016-11-30,175.7,178.6,172.8,175.9,174.66,1541365.0,8202.0,269217836.0,486514.0,31.56,5.8,0.2
2016-11-29,180.4,180.85,174.85,175.45,177.0,1604557.0,6331.0,283999510.0,281028.0,17.51,6.0,-4.95
2016-11-28,181.0,182.1,177.8,178.55,179.58,1726448.0,8630.0,310033206.0,260673.0,15.1,4.3,-2.45
2016-11-25,183.0,184.75,179.0,180.2,181.23,2488974.0,11869.0,451074936.0,438918.0,17.63,5.75,-2.8
2016-11-24,173.75,181.2,172.25,180.45,177.61,3064567.0,17627.0,544308503.0,719634.0,23.48,8.95,6.7
2016-11-23,169.0,174.1,168.15,173.5,171.92,1907232.0,10334.0,327884487.0,257680.0,13.51,5.95,4.5
2016-11-22,158.75,167.3,158.7,166.65,164.43,1391000.0,8159.0,228727231.0,268362.0,19.29,8.6,7.9
2016-11-21,166.0,170.7,156.3,157.4,162.28,1829646.0,8172.0,296923421.0,190543.0,10.41,14.4,-8.6
2016-11-18,169.2,169.4,163.55,165.5,165.97,1100555.0,5310.0,182654199.0,203423.0,18.48,5.85,-3.7
2016-11-17,164.8,169.6,162.2,168.4,167.21,1301701.0,7651.0,217657605.0,199496.0,15.33,7.4,3.6
2016-11-16,171.05,172.4,161.15,163.05,165.38,1380749.0,7740.0,228352100.0,299252.0,21.67,11.25,-8.0
2016-11-15,176.5,180.5,166.55,168.25,173.57,2659769.0,16304.0,461668961.0,408429.0,15.36,13.95,-8.25
2016-11-11,174.3,178.0,171.1,172.35,173.93,1404347.0,10363.0,244251849.0,266109.0,18.95,6.9,-1.95
2016-11-10,167.45,177.0,167.4,175.45,173.57,2118076.0,12159.0,367644494.0,460586.0,21.75,9.6,8.0
2016-11-09,151.35,163.4,151.05,162.4,159.2,1332120.0,6927.0,212074651.0,145143.0,10.9,12.35,11.05
2016-11-08,169.75,172.25,165.9,167.8,169.72,2506702.0,15521.0,425447123.0,683541.0,27.27,6.35,-1.95
2016-11-07,162.1,168.65,161.3,167.5,165.63,1657480.0,9507.0,274531902.0,509746.0,30.75,7.35,5.4
2016-11-04,163.45,164.95,154.9,158.2,158.49,2451728.0,8149.0,388578781.0,609673.0,24.87,10.05,-5.25
2016-11-03,157.1,166.35,155.8,162.4,163.23,5540722.0,18266.0,904409205.0,1864365.0,33.65,10.55,5.3
2016-11-02,155.0,157.9,153.05,156.35,155.53,822459.0,5220.0,127913175.0,100931.0,12.27,4.85,1.35
2016-11-01,150.25,159.45,149.95,156.55,156.39,1989678.0,8101.0,311174652.0,485223.0,24.39,9.5,6.3
2016-10-30,150.9,150.9,149.2,149.8,149.99,92926.0,563.0,13937752.0,34669.0,37.31,1.7,-1.1
2016-10-28,148.8,150.2,148.0,149.6,149.2,514434.0,2076.0,76755647.0,65021.0,12.64,2.2,0.8
2016-10-27,149.05,150.9,147.3,148.35,149.15,738466.0,2855.0,110141394.0,189326.0,25.64,3.6,-0.7
2016-10-26,150.1,152.25,148.65,150.0,150.35,1035631.0,2468.0,155703229.0,473155.0,45.69,3.6,-0.1
2016-10-25,150.55,152.45,147.75,150.45,150.27,1530078.0,3467.0,229926561.0,635311.0,41.52,4.7,-0.1
2016-10-24,152.0,153.1,150.5,150.95,151.45,1129845.0,3382.0,171114120.0,452780.0,40.07,2.6,-1.05
2016-10-21,155.95,156.0,150.95,151.9,152.22,947284.0,2956.0,144198437.0,217134.0,22.92,5.05,-4.05
2016-10-20,152.0,156.1,151.65,155.25,154.74,1848723.0,5409.0,286063752.0,631388.0,34.15,4.45,3.25
2016-10-19,153.0,154.0,150.05,150.95,151.57,991138.0,3436.0,150231580.0,346860.0,35.0,3.95,-2.05
2016-10-18,152.0,153.4,149.4,152.2,151.49,1612985.0,3540.0,244357530.0,845224.0,52.4,4.0,0.2
2016-10-17,153.9,155.45,150.0,150.7,152.99,1190776.0,3885.0,182180850.0,501919.0,42.15,5.45,-3.2
2016-10-14,156.5,156.5,153.4,154.55,154.5,1373296.0,2700.0,212176924.0,811932.0,59.12,3.1,-1.95
2016-10-13,158.5,159.25,152.25,155.05,155.99,736732.0,3765.0,114923826.0,106629.0,14.47,7.0,-3.45
2016-10-10,158.4,162.7,158.4,160.65,161.21,947390.0,3934.0,152727333.0,367205.0,38.76,4.3,2.25
2016-10-07,158.0,160.25,156.7,158.05,158.44,986944.0,3542.0,156371131.0,303425.0,30.74,3.55,0.05
